number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
58,16.1223696916224,none,0.591258349299718,False,False,True,False,True,False,False,True,False,True,True,,0.048458963703363986,13,77,0.1443691679277943,651,39,large,7.597685669960562e-08,1.4040856070394975e-05,medium,idw,0.9763623082503028,False,True,COMPLETE
59,15.984969423196603,none,0.554294532114767,False,True,True,False,True,False,False,True,False,True,True,,0.04949460479250174,14,65,0.2227884573819331,653,55,large,6.322104684715075e-08,2.7047981644488995e-06,medium,idw,0.9393468160793195,False,True,COMPLETE
60,18.54970330066286,none,0.5587769388520893,True,True,True,False,True,False,False,True,False,True,True,6.0,0.06053297528706999,14,55,0.22554563089793725,654,56,large,1.2557507398664056e-07,2.834480969235431e-06,medium,idw,0.9822137799667705,False,False,COMPLETE
61,16.328784623699256,none,0.5371738037892937,False,True,True,False,True,False,False,True,False,True,True,,0.04783097385365664,13,78,0.2664885496951462,702,42,large,5.140797175890117e-08,1.3295849916352143e-05,medium,idw,0.948885518363952,False,True,COMPLETE
62,15.7782316818075,none,0.5982914411775518,False,True,True,False,True,False,False,True,False,True,True,,0.05523963891680539,15,65,0.18914273065476733,599,48,large,1.2008851749634732e-08,1.1028827210772513e-06,medium,idw,0.9497695794807737,False,True,COMPLETE
63,15.85043203061218,none,0.5951226890795566,False,True,True,False,True,False,False,True,False,True,True,,0.0748788652887259,15,65,0.18992963630396714,593,48,large,1.2111705652070652e-08,4.180276838307005e-07,medium,idw,0.948598712742093,False,True,COMPLETE
64,16.21046653307732,none,0.5253671185365235,False,True,True,False,True,False,False,True,False,True,True,,0.05918646970757214,16,64,0.22061065066940122,602,47,large,1.8942306861628334e-08,5.427668846292952e-07,medium,idw,0.9162675079383104,False,True,COMPLETE
65,15.726143397356665,none,0.5933376177614876,False,True,True,False,True,False,False,True,False,True,True,,0.07454633537008447,14,67,0.17716895101262892,742,67,large,1.0222017085742529e-08,1.7217328908563104e-07,medium,idw,0.9300520675899937,False,True,COMPLETE
66,15.779202636727518,none,0.5946318797136513,False,True,True,False,True,False,False,True,False,True,True,,0.08189316297136441,15,61,0.19282437502205785,739,67,large,1.5492019686894275e-08,1.462193086060012e-07,medium,idw,0.930069159585878,False,True,COMPLETE
67,18.64233833491054,none,0.5471251962228484,False,True,True,False,True,False,False,True,False,False,True,1.0,0.07969322970778399,15,66,0.18755327334862362,740,66,large,1.4255951096735697e-08,8.264003579550033e-08,medium,idw,0.9299215454469492,False,True,COMPLETE
68,20.408257445479276,none,0.5796849744075795,False,True,False,False,True,False,False,True,False,True,True,12.0,0.08777915806688276,15,48,0.2489988441293493,850,60,large,1.2004572027145017e-08,3.598334316239009e-08,medium,idw,0.8687037449688818,True,True,COMPLETE
69,17.391488682251374,none,0.6001863646162674,False,True,True,False,False,False,False,True,False,True,True,,0.07014568280888879,15,61,0.20010272202672053,677,68,large,2.8073011797981345e-08,1.9523417697583743e-07,medium,idw,0.959687684303218,False,True,COMPLETE
