number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
50,21.465171813964844,medium,0.6371573678056032,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,6.0,0.011232703019353685,10,10,540,small,0.9730797918522082,0.0002606355734989338,long,idw,0.6226467600225558,medium,COMPLETE
51,21.276161193847656,small,0.5585381942033341,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.019220179335378517,9,9,508,medium,0.0012366745372717912,1.6796213941559546e-05,short,distance_energy,0.5537346230351008,medium,COMPLETE
52,20.627347946166992,small,0.5636908463476542,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.020357452292784985,9,9,460,medium,0.0009853094201069583,3.265623906325258e-05,short,distance_energy,0.5478179696641069,medium,COMPLETE
53,20.861785888671875,small,0.5755134007593928,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.020799287234298358,9,8,355,medium,0.000603997067641944,3.7099908189646125e-05,short,distance_energy,0.5920146278357292,medium,COMPLETE
54,21.105857849121094,small,0.513840707203922,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.019975107130903887,9,8,349,medium,0.0006100256578940635,8.788009904297146e-05,short,energy,0.5291200012461713,medium,COMPLETE
55,21.379623413085938,small,0.5784995993736687,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.031204898241393688,8,7,305,medium,0.0001136751059126993,4.773590969981084e-05,short,distance_energy,0.9261804734806942,medium,COMPLETE
56,20.26350975036621,small,0.500311457787932,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.017202942896577707,9,8,367,medium,2.0592290373244833e-05,0.0002383963743437877,short,mean,0.5891670689563333,medium,COMPLETE
57,24.022071838378906,small,0.524114528982888,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,,0.01637944918308833,9,10,423,medium,1.8718041337802704e-05,0.0008313139560435087,long,mean,0.5812293483865316,small,COMPLETE
58,22.073745727539062,small,0.5012312767126342,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,6.0,0.01146468286589089,6,6,467,medium,6.668174941129681e-06,0.00023632861899194516,short,mean,0.5246036341461113,none,COMPLETE
59,25.88433265686035,small,0.5387082690212154,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,True,False,12.0,0.017854075472120624,8,3,389,medium,7.245685984960687e-07,4.510318218412659e-06,none,mean,0.7361772704898129,medium,COMPLETE
60,24.153661727905273,small,0.8722085605412739,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,False,True,1.0,0.026679810045392233,7,7,436,none,5.3932039523364844e-05,0.0016538005678792297,short,mean,0.6292037656494133,medium,COMPLETE
61,20.87238883972168,small,0.5718027611769778,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.024105120251832632,9,8,341,medium,0.00030693558162571703,3.289701152450865e-05,short,distance_energy,0.5906704119459898,medium,COMPLETE
62,21.59740447998047,small,0.5980143274721561,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.022994204282912274,9,8,367,medium,0.0007101142146716972,0.0004440062455783555,short,population,0.5515746848800809,medium,COMPLETE
63,20.7373104095459,small,0.520620315989016,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.01423160317963355,9,9,376,medium,3.433889435652982e-05,9.426534192074794e-06,short,mean,0.6000818532030255,medium,COMPLETE
64,21.47657012939453,small,0.5247530728247934,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.012601277168567782,10,9,384,medium,1.2142270692655445e-05,9.131841794487919e-06,short,mean,0.8967833470673794,medium,COMPLETE
65,20.8389892578125,small,0.549761026862124,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.01447103260267775,8,9,590,medium,2.7315769756212135e-05,1.8125246382137174e-06,short,mean,0.6791718507600308,medium,COMPLETE
66,21.206722259521484,small,0.5147823618829306,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,6.0,0.010005452883437157,9,10,732,medium,0.00010205464392356114,0.00012926695442190604,short,mean,0.5199549673526483,medium,COMPLETE
67,21.44875144958496,none,0.9673898554535288,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,6.0,0.01605416161066556,10,9,324,medium,0.040149186588086076,6.23647987350187e-05,long,None,0.5715314459590284,medium,COMPLETE
68,21.023683547973633,small,0.7321150946720776,True,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,True,6.0,0.0181816691926379,9,10,448,small,1.7164813030707237e-06,1.919006055722582e-07,short,mean,0.6077429403876717,none,COMPLETE
69,21.78424644470215,small,0.595020518526057,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,6.0,0.02858082853264238,8,9,487,medium,0.12403622776320693,7.710341571857525e-07,short,mean,0.653948411541745,medium,COMPLETE
