date,prognostizierte_erzeugung_onshore,prognostizierte_erzeugung_offshore,prognostizierte_erzeugung_photovoltaik,prognostizierter_verbrauch_gesamt,prognostizierte_erzeugung_gesamt,prognostizierte_erzeugung_wind_und_photovoltaik,prognostizierte_erzeugung_sonstige,prognostizierter_verbrauch_residuallast
2026-08-27 13:00:00+00:00,13333.106813432778,4782.310987834944,29095.534913860018,57801.71231392943,63517.914592308494,47210.95271512774,16306.96187718075,10590.759598801684
2026-08-27 14:00:00+00:00,17078.849497647985,5358.612611478093,23586.868023481675,57496.256349647796,63253.707293646745,46024.33013260775,17229.377161038996,11471.926217040047
2026-08-27 15:00:00+00:00,15212.741180390987,5756.926333528612,17025.001345266974,58396.284525069466,57927.54221600415,37994.668859186575,19932.873356817574,20401.61566588289
2026-08-27 16:00:00+00:00,17504.349829278795,6124.04315791965,10783.511857050058,59186.72405048241,56483.635214050395,34411.9048442485,22071.730369801895,24774.819206233908
2026-08-27 17:00:00+00:00,17884.563333658545,5785.243827818329,4696.348680496141,60432.85619619822,53459.98577411428,28366.155841973014,25093.829932141263,32066.700354225206
2026-08-27 18:00:00+00:00,17181.211843045396,5475.815667428519,-1533.2651297710363,61057.810416944376,54914.65675973765,21123.76238070288,33790.89437903477,39934.0480362415
2026-08-27 19:00:00+00:00,19063.729103161917,5754.944987052217,-3895.4968459225724,58152.59867086526,55029.664718411004,20923.17724429156,34106.48747411944,37229.4214265737
2026-08-27 20:00:00+00:00,21645.31706174655,5979.271336666777,-2660.3342298539583,56870.66912424469,56573.39990178501,24964.25416855937,31609.145733225636,31906.41495568532
2026-08-27 21:00:00+00:00,20578.684052829758,6216.718396209318,-125.12079909582641,52012.81076198916,50898.6303639402,26670.281649943252,24228.34871399695,25342.529112045908
2026-08-27 22:00:00+00:00,19935.329722626666,5850.7642724668385,342.3796947723613,48341.080675382,47511.66172062515,26128.473689865867,21383.18803075928,22212.606985516133
2026-08-27 23:00:00+00:00,23752.207938241987,6484.643730012612,26.9361148357277,47902.65538887933,52145.54522539876,30263.787783090327,21881.757442308433,17638.867605789
2026-08-28 00:00:00+00:00,23247.49918001767,5625.573693391236,-2017.2175500763994,47062.91383949234,52420.58699664738,26855.855323332507,25564.73167331487,20207.058516159836
2026-08-28 01:00:00+00:00,21906.33307218559,3819.451182291703,-754.4982838061666,46754.015452539395,51477.92102831465,24971.285970671128,26506.635057643525,21782.729481868268
2026-08-28 02:00:00+00:00,20115.54919322624,3622.9006644875203,268.258356882604,45681.97345404163,45315.23578328126,24006.708214596365,21308.527568684898,21675.265239445267
2026-08-28 03:00:00+00:00,18631.69045545828,3408.772704670285,1226.523917080883,48742.72391426398,46217.221349255015,23266.987077209447,22950.234272045567,25475.736837054534
2026-08-28 04:00:00+00:00,17946.401958976217,3651.187105989136,2225.129726245583,55234.61652859039,49659.32952511717,23822.718791210937,25836.610733906236,31411.897737379455
2026-08-28 05:00:00+00:00,18011.18455200427,3532.4798281373264,2526.905309714908,58095.92734892276,50673.85021091825,24070.569689856504,26603.280521061748,34025.357659066256
2026-08-28 06:00:00+00:00,14455.744583804653,4375.306161624991,6354.752622502017,61207.28133607939,52320.513163246396,25185.803367931665,27134.70979531473,36021.47796814772
2026-08-28 07:00:00+00:00,12392.631824485725,4209.665277641929,10557.55391717242,62747.936046847215,53041.3412803027,27159.851019300073,25881.49026100263,35588.085027547146
2026-08-28 08:00:00+00:00,8753.247495168129,4355.767538790614,14189.474863590287,63238.830929549615,51743.861319593954,27298.48989754903,24445.371422044926,35940.341032000586
2026-08-28 09:00:00+00:00,9910.282196712933,3834.7358916896205,17098.479554230646,63284.34149759983,53201.207984306326,30843.4976426332,22357.710341673126,32440.84385496663
2026-08-28 10:00:00+00:00,8320.609730721606,3680.02259484309,19497.30370036154,62487.94973443076,53923.65630025262,31497.936025926236,22425.720274326388,30990.013708504524
2026-08-28 11:00:00+00:00,8647.966100355303,3434.7046460707697,19452.58175669241,61884.37487771363,54432.94836787676,31535.25250311848,22897.695864758276,30349.122374595147
2026-08-28 12:00:00+00:00,8531.63720782553,3039.6474329510315,17374.751338476228,59351.76918922799,52552.710342278886,28946.03597925279,23606.674363026097,30405.733209975202
2026-08-28 13:00:00+00:00,8106.930328970167,3011.640941288343,14004.814686193458,58952.95528019595,49875.947227053904,25123.385956451966,24752.56127060194,33829.569323743985
2026-08-28 14:00:00+00:00,8700.445397508243,3412.5101308633803,10366.124697067587,57828.17139065506,48578.70632688834,22479.08022543921,26099.626101449132,35349.09116521585
2026-08-28 15:00:00+00:00,8253.809638234097,4103.003030417873,8409.995130447753,58748.48308780701,49867.97757766158,20766.807799099723,29101.169778561856,37981.675288707294
2026-08-28 16:00:00+00:00,7539.737642395443,4547.5519425407065,5353.2988870217505,58718.28821993455,49223.87459535035,17440.588471957897,31783.286123392456,41277.69974797665
2026-08-28 17:00:00+00:00,11073.819913013022,4952.9086937267475,1970.7953860738967,57857.08352941833,48759.905704957986,17997.523992813665,30762.38171214432,39859.55953660466
2026-08-28 18:00:00+00:00,11152.215259987042,4943.190127858515,-139.323461227843,55855.641590607884,46409.06242946676,15956.081926617713,30452.980502849045,39899.55966399017
2026-08-28 19:00:00+00:00,12290.82770600492,5177.80264685457,-1878.497816026972,53548.21034651977,45114.055913543685,15590.13253683252,29523.923376711165,37958.07780968725
2026-08-28 20:00:00+00:00,15950.149354131312,5214.749924190944,-1091.4236100222404,51401.240372735956,47379.16113582478,20073.475668300016,27305.685467524767,31327.76470443594
2026-08-28 21:00:00+00:00,18081.756016198575,5001.200339909069,-240.1197342017291,45777.00504464865,45138.540936201745,22842.836621905913,22295.704314295832,22934.168422742736
2026-08-28 22:00:00+00:00,19647.901803664434,4856.366014058888,480.29413963983336,43237.810220022155,44138.09617948399,24984.561957363156,19153.534222120834,18253.248262659
2026-08-28 23:00:00+00:00,19442.872978055835,5628.768696256543,453.6086816172432,42058.26065353412,43426.609346168734,25525.25035592962,17901.358990239114,16533.0102976045
2026-08-29 00:00:00+00:00,18256.863607479376,5074.820933729609,-1231.3294809920678,41273.55704798538,45152.44425743794,22100.35506021692,23052.089197221023,19173.201987768458
2026-08-29 01:00:00+00:00,19851.526454096762,4852.2894096430655,-338.0660958947677,40240.288534560175,44564.443525449606,24365.74976784506,20198.693757604546,15874.538766715115
2026-08-29 02:00:00+00:00,18965.988019928343,4890.871403188955,914.7794935949565,40080.361818176876,38765.626639589085,24771.638916712254,13993.987722876831,15308.722901464622
2026-08-29 03:00:00+00:00,18395.536202500047,5071.174244437564,1617.6128913109694,41417.82828312674,40988.2163076272,25084.323338248578,15903.89296937862,16333.504944878165
2026-08-29 04:00:00+00:00,19897.317213803915,4161.9010634568795,2775.0348195243946,43783.04884039696,44025.57717756705,26834.25309678519,17191.324080781862,16948.79574361177
2026-08-29 05:00:00+00:00,21041.10329271615,3933.4627118586386,2947.0273032816003,46252.702552320574,46573.14599413814,27921.59330785639,18651.55268628175,18331.109244464184
2026-08-29 06:00:00+00:00,20228.111024245813,4186.583116359607,7914.62540460599,48995.57158441933,49582.34523155248,32329.31954521141,17253.02568634107,16666.252039207924
2026-08-29 07:00:00+00:00,19036.072550667206,4211.662838284928,15628.078493117115,52405.460602724415,54545.943519886314,38875.81388206925,15670.129637817066,13529.646720655168
2026-08-29 08:00:00+00:00,19257.96799277841,4932.168783463587,21674.2608989385,52936.010255194895,59344.04320869506,45864.3976751805,13479.645533514558,7071.612580014393
2026-08-29 09:00:00+00:00,21693.774480731343,5121.386638705714,25585.85843817943,53424.01237792559,64544.771641190026,52401.019557616484,12143.752083573541,1022.992820309104
2026-08-29 10:00:00+00:00,26562.440945646245,4393.756586061901,27114.07785488457,53242.513564975096,68346.59692282445,58070.275386592715,10276.321536231735,-4827.76182161762
2026-08-29 11:00:00+00:00,26076.287392464394,4088.2445244386,27323.67806305103,51820.84598398764,67529.77364467988,57488.20997995402,10041.563664725858,-5667.363995966385
2026-08-29 12:00:00+00:00,25336.691045669704,3926.8207636933535,26779.37419851742,50283.776203772315,66309.93410184472,56042.88600788048,10267.048093964237,-5759.109804108164
2026-08-29 13:00:00+00:00,23977.871593828786,4014.352010329649,23519.448669033503,49816.47255813266,63746.73025756629,51511.67227319194,12235.057984374347,-1695.199715059287
2026-08-29 14:00:00+00:00,24043.727614824966,4497.453600101035,20476.851309148136,49443.2582086191,60639.68506514297,49018.03252407414,11621.652541068834,425.2256845449665
2026-08-29 15:00:00+00:00,21727.46214495258,4716.908020678219,15224.5166259121,50218.146290481964,55931.34435161091,41668.8867915429,14262.457560068011,8549.259498939064
2026-08-29 16:00:00+00:00,16885.73381074889,4523.279899466738,7668.559484202489,51519.954521966094,50610.26535671443,29077.573194418117,21532.692162296313,22442.381327547977
2026-08-29 17:00:00+00:00,17260.08807322422,4326.355131513384,3615.6790489055475,50908.48808410085,48173.87513220015,25202.122253643152,22971.752878556996,25706.365830457697
2026-08-29 18:00:00+00:00,15380.41832086969,4294.374336600578,-2066.6822323364445,51615.3717350177,47067.498519897636,17608.110425133826,29459.38809476381,34007.26130988388
2026-08-29 19:00:00+00:00,14950.566284179737,5150.771658395677,-1839.7891089857012,48426.52969950981,44480.44836890645,18261.548833589713,26218.899535316737,30164.980865920097
2026-08-29 20:00:00+00:00,18005.914728395368,5772.112082940127,-1478.4133206520921,46222.80860891043,47019.46819027876,22299.6134906834,24719.854699595362,23923.19511822703
2026-08-29 21:00:00+00:00,18328.46662349061,6398.051958114571,291.4738878403915,43115.022643703225,41543.16868800961,25017.992469445573,16525.176218564036,18097.030174257652
2026-08-29 22:00:00+00:00,18700.96975344705,6331.347347861463,596.7446381730722,41502.929070853024,40576.31821854078,25629.06173948159,14947.25647905919,15873.867331371435
2026-08-29 23:00:00+00:00,23253.999831285662,5980.567127620647,856.1123292771662,41244.966858615626,43921.043530100826,30090.679288183477,13830.364241917348,11154.287570432149
2026-08-30 00:00:00+00:00,22330.4204957185,5877.15951148276,-1244.7097385338527,38566.34992614403,43259.347266216326,26962.870268667404,16296.476997548922,11603.479657476626
2026-08-30 01:00:00+00:00,21836.09114267724,5542.200176433735,-600.6285464056521,38434.68828764279,42073.820746101956,26777.662772705324,15296.157973396632,11657.025514937468
2026-08-30 02:00:00+00:00,23023.36670636352,5437.059604093508,314.8963258326903,39157.29292316201,44255.70793432726,28775.32263628972,15480.385298037545,10381.970286872289
2026-08-30 03:00:00+00:00,23664.03538248352,5295.598435314072,1593.5738112312752,40504.61855445311,43252.32422360343,30553.207629028868,12699.11659457456,9951.410925424243
2026-08-30 04:00:00+00:00,24000.730611413288,5228.795578806938,2828.8690469096236,42481.23429976887,45861.085996824826,32058.39523712985,13802.690759694975,10422.839062639017
2026-08-30 05:00:00+00:00,24607.61246778126,4672.513082414572,1519.6309812512259,44317.57019579156,48972.58392884595,30799.756531447056,18172.82739739889,13517.813664344503
2026-08-30 06:00:00+00:00,26294.47622220105,4222.859189347621,7752.828818405996,46478.74658750469,53148.43329819995,38270.164229954666,14878.269068245281,8208.582357550025
2026-08-30 07:00:00+00:00,25852.29802164781,3961.639431471914,15952.42121013773,49892.66120912854,59357.42852467794,45766.35866325746,13591.069861420481,4126.302545871084
2026-08-30 08:00:00+00:00,24929.00584513103,3926.7444599850896,22539.101076209405,51396.340802388426,64505.58165185459,51394.85138132553,13110.730270529064,1.489421062899055
