number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
60,16.659173569500823,large,0.8690907223693233,False,False,True,False,False,True,False,False,True,True,False,0.02341912304409197,3,45,0.32040628973133445,874,51,small,0.00415568603420388,1.3698626044802177e-07,large,distance_capacity,0.700715698304636,True,False,False,COMPLETE
61,16.12844136228722,large,0.8949824034662586,False,True,True,False,False,True,False,False,True,True,False,0.029792921330759753,4,28,0.3836895182410519,751,60,small,0.015743208595054292,7.289608206566714e-08,large,capacity,0.774996271495248,False,False,True,COMPLETE
62,16.318446008677252,large,0.9369668817588798,False,True,True,False,False,True,False,False,True,True,False,0.035312355149324036,5,41,0.3824058418879625,802,68,small,0.012515052933856298,1.1450437744239171e-07,large,capacity,0.7745972050089096,False,False,True,COMPLETE
63,16.038746563097025,large,0.852363779893004,False,True,True,False,False,True,False,False,True,True,False,0.02980837123083098,4,29,0.3487623834389835,752,79,small,0.031957025814756346,4.491234498630402e-06,large,capacity,0.7990577049654288,False,False,True,COMPLETE
64,16.093503781799033,large,0.8523500896048009,False,True,True,False,False,True,False,False,True,True,False,0.02915426249039228,4,29,0.35224365774411814,761,81,small,0.036198454998074184,1.022145023683952e-06,large,capacity,0.7985876720823563,False,False,True,COMPLETE
65,16.38562913333558,large,0.8367007904539454,False,True,True,True,False,True,False,False,True,True,False,0.03150617078463326,3,29,0.3465759233530158,840,79,small,0.03301254092102853,7.999280041230142e-06,large,None,0.8035418792341442,False,False,True,COMPLETE
66,16.562734020403965,large,0.8182805467842348,False,True,True,False,False,True,False,False,True,True,False,0.02923846373302614,5,28,0.25816170246211106,723,100,small,0.07333803586553721,0.00017147953120317679,small,capacity,0.7555649678471358,False,False,True,COMPLETE
67,16.984411712037886,small,0.8844852970727155,False,True,True,False,False,True,False,False,True,False,False,0.05748192235279738,4,23,0.3140073460120782,795,84,small,0.005213920342058888,2.557771166353767e-05,large,idw,0.8558859116933006,False,False,True,COMPLETE
68,16.294861018671952,large,0.9627753101775457,True,True,False,False,False,True,False,False,True,True,True,0.037033740384097964,3,35,0.36214828909014635,760,72,large,0.03470678163194149,9.928624942687612e-07,medium,capacity,0.8216349116675085,False,False,True,COMPLETE
69,16.906345223237537,none,0.795707599950989,False,True,True,False,False,False,False,False,False,True,False,0.01852696829974638,5,30,0.24136143943669658,823,78,none,0.6360537730270514,4.6388148836652455e-06,large,capacity,0.7968684556807024,False,False,True,COMPLETE
