number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
21,2689.534338014421,none,0.8365016146192215,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.016136818932915232,5,22,0.44029130939463446,586,14,small,3.261598774616032e-06,0.0004941455210185271,none,distance_population,0.6328756341517936,medium,True,COMPLETE
22,2696.5912431957363,none,0.8510480707754821,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.014558695401269273,5,23,0.4527607745537913,610,11,small,2.9250913412588206e-06,1.4497981934424937e-05,none,distance_population,0.6465050533270273,medium,True,COMPLETE
23,2682.9617466764653,none,0.9092555234256021,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.01038675594982357,3,20,0.49833071763832143,653,10,small,2.559142592994857e-06,2.4429015227487833e-07,none,distance_population,0.7213652168658886,medium,True,COMPLETE
24,2677.2932213225586,none,0.9135174800872797,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.010530522197261829,3,17,0.32297196476135537,681,10,small,0.00016749287663369686,2.2378874472397104e-07,none,distance_population,0.713568136176388,medium,True,COMPLETE
25,2758.663885656861,small,0.9124164270391136,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.011306388342853224,3,18,0.34354451413517556,827,33,small,0.0001837364635572934,1.6035142320138592e-07,none,max,0.7224369636794511,medium,True,COMPLETE
26,2850.477149394501,none,0.920192582867468,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,0.01060549256375778,3,13,0.49667699995993103,690,43,small,0.0022394640984749518,3.0578218812033736e-07,none,distance_energy,0.8212442622487696,medium,True,COMPLETE
27,2753.955314834495,none,0.8902416185381437,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.03317670986584146,4,6,0.4110574088049387,676,19,small,7.642205467810373e-05,1.8781333663663802e-08,none,mean,0.9102032389012186,medium,True,COMPLETE
28,2718.502084397402,none,0.9622097516394542,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.01588416314047347,6,29,0.4528333005395565,753,37,small,0.0008803941949714112,4.3965981918890866e-07,short,distance_population,0.7260866695714172,none,True,COMPLETE
29,2797.4539151525482,small,0.814909544678392,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,0.012716756229904315,7,40,0.18821864581510897,818,21,small,9.50430571964859e-05,1.5734882428672978e-05,none,max,0.7382851252799497,medium,False,COMPLETE
30,2688.133541957861,none,0.890996834847483,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.01783944035087644,4,16,0.38625558377233604,649,28,small,5.451471518024707e-06,1.0768546579873177e-07,short,distance_population,0.773440998957177,none,True,COMPLETE
31,2672.8759560367957,none,0.9044016153256714,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.017192146808530418,4,16,0.3874139594371824,567,30,small,6.9199153773445525e-06,1.3698413174888372e-07,short,distance_population,0.7903680724892214,none,True,COMPLETE
32,2702.802716450959,none,0.8890457353313532,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.023479225612673592,4,15,0.2727840557593655,646,28,small,6.905326363393648e-06,8.907743187801335e-08,short,distance_population,0.7940850509004557,none,True,COMPLETE
33,2687.160222766943,none,0.9336933895222297,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.031046533237496378,3,30,0.4023349839811643,725,40,small,8.336125797100632e-07,1.2168432243867877e-08,short,distance_population,0.7780648560145901,none,True,COMPLETE
